time,open,high,low,close,tick_volume,spread,real_volume,pct_change,target
1988-07-06,1.0735999999999999,1.074,1.0735999999999999,1.0739,51,50,0,0.0013987318164865314,1
1988-07-07,1.0768,1.0776,1.0765,1.0768,221,50,0,0.0027004376571373445,1
1988-07-08,1.067,1.0723,1.0641,1.067,1641,50,0,-0.009101040118870807,-1
1988-07-11,1.0606,1.0627,1.0594,1.0604,641,50,0,-0.006185567010309256,-1
1988-07-12,1.0636,1.0641,1.0627,1.0637,271,50,0,0.003112033195020736,1
1988-07-13,1.06,1.0619,1.0588,1.06,621,50,0,-0.003478424367772903,-1
1988-07-14,1.0589,1.0594,1.0588,1.0591,101,50,0,-0.0008490566037736569,-1
1988-07-15,1.0458,1.0526,1.0424,1.0455,2011,50,0,-0.01284109149277668,-1
1988-07-18,1.0384,1.0395,1.0355,1.038,761,50,0,-0.00717360114777621,-1
1988-07-19,1.049,1.0491,1.0488,1.0491,51,50,0,0.010693641618497063,1
1988-07-20,1.0561,1.0566,1.0551,1.0562,291,50,0,0.0067677056524642065,1
1988-07-21,1.0648,1.0653,1.0641,1.0646,221,50,0,0.007953039197121647,1
1988-07-22,1.0705,1.0707,1.0694,1.0707,241,50,0,0.005729851587450652,1
1988-07-25,1.0613,1.0642,1.0597,1.0611,881,50,0,-0.008966096945923319,-1
1988-07-26,1.0519,1.0531,1.0511,1.0519,401,50,0,-0.008670247855998348,-1
1988-07-27,1.0563,1.0578,1.053,1.0562,951,50,0,0.004087841049529306,1
1988-07-28,1.0506,1.0545,1.0487,1.0504,1141,50,0,-0.005491384207536476,-1
1988-07-29,1.0439,1.0455,1.0431,1.0441,461,50,0,-0.005997715156131012,-1
1988-08-01,1.0425,1.0435,1.042,1.0426,291,50,0,-0.00143664399961696,-1
1988-08-02,1.0441,1.0484,1.0423,1.0443,1201,50,0,0.0016305390370228157,1
1988-08-03,1.0424,1.0426,1.0421,1.0426,81,50,0,-0.0016278847074595593,-1
1988-08-04,1.04,1.0402,1.04,1.0402,21,50,0,-0.0023019374640321777,-1
1988-08-05,1.0348,1.0387,1.033,1.0352,1101,50,0,-0.004806767929244504,-1
1988-08-08,1.0279,1.0279,1.0279,1.0279,1,50,0,-0.007051777434312068,-1
1988-08-09,1.0245,1.0318,1.0208,1.0243,2181,50,0,-0.003502286214612349,-1
1988-08-10,1.0209,1.0209,1.0209,1.0209,1,50,0,-0.0033193400370985504,-1
1988-08-11,1.03,1.0302,1.0295,1.0298,121,50,0,0.008717798021353751,1
1988-08-12,1.0395,1.0399,1.0388,1.0395,221,50,0,0.00941930471936292,1
1988-08-15,1.0391,1.0396,1.0383,1.0393,241,50,0,-0.0001924001924004104,-1
1988-08-16,1.0462,1.0486,1.0452,1.0461,671,50,0,0.0065428653901666856,1
1988-08-17,1.0252,1.031,1.0222,1.0255,1731,50,0,-0.01969219003919309,-1
1988-08-18,1.0319,1.0348,1.0302,1.0318,911,50,0,0.006143344709897525,1
1988-08-19,1.035,1.0373,1.0338,1.035,701,50,0,0.0031013762357043895,1
1988-08-22,1.0193,1.0197,1.0186,1.0192,211,50,0,-0.015265700483091615,-1
1988-08-23,1.0271,1.0292,1.0257,1.0271,701,50,0,0.007751177394034414,1
1988-08-24,1.0343,1.0345,1.0339,1.034,91,50,0,0.006717943725051301,1
1988-08-25,1.0489,1.0493,1.0477,1.0491,301,50,0,0.014603481624758219,1
1988-08-26,1.052,1.0532,1.0503,1.0523,551,50,0,0.0030502335335049757,1
1988-08-29,1.0469,1.0475,1.0468,1.0469,141,50,0,-0.005131616459184696,-1
1988-08-30,1.0466,1.047,1.0456,1.0468,261,50,0,-9.552010698254954e-05,-1
1988-08-31,1.0411,1.0413000000000001,1.041,1.0412,51,50,0,-0.00534963698891866,-1
1988-09-01,1.0427,1.0438,1.041,1.0429,541,50,0,0.0016327314636956913,1
1988-09-02,1.049,1.0518,1.0436,1.0493,1611,50,0,0.006136734106817476,1
1988-09-06,1.0605,1.0612,1.059,1.0604,431,50,0,0.01057848089202329,1
1988-09-07,1.0609,1.061,1.0608,1.061,31,50,0,0.0005658242172763561,1
1988-09-08,1.0578,1.0581,1.0573,1.0578,161,50,0,-0.003016022620169534,-1
1988-09-09,1.0584,1.0598,1.0579,1.0583,371,50,0,0.0004726791453959489,1
1988-09-12,1.0602,1.0608,1.0598,1.0602,201,50,0,0.0017953321364452268,1
1988-09-13,1.0578,1.0591,1.057,1.0578,421,50,0,-0.0022637238256931758,-1
1988-09-14,1.0451,1.0542,1.0407,1.0455,2661,50,0,-0.011627906976744207,-1
1988-09-15,1.0427,1.0429,1.0425,1.0429,61,50,0,-0.0024868483978959244,-1
1988-09-16,1.0423,1.0428,1.0423,1.0423,101,50,0,-0.0005753188225140482,-1
1988-09-19,1.0465,1.0465,1.046,1.0462,71,50,0,0.003741725031181087,1
1988-09-20,1.0484,1.0492,1.0471,1.0485,411,50,0,0.0021984324220989393,1
1988-09-21,1.0433,1.0434,1.0433,1.0434,11,50,0,-0.004864091559370398,-1
1988-09-22,1.0411,1.042,1.0406,1.041,271,50,0,-0.0023001725129386807,-1
1988-09-23,1.0423,1.0428,1.0412,1.0422,311,50,0,0.0011527377521614035,1
1988-09-26,1.0374,1.0382,1.0354,1.0375,551,50,0,-0.004509691038188324,-1
1988-09-27,1.0404,1.0407,1.0399,1.0407,131,50,0,0.0030843373493973925,1
1988-09-28,1.0409,1.0412,1.0407,1.0409,101,50,0,0.00019217834150087043,1
1988-09-29,1.0389,1.0396,1.0389,1.039,131,50,0,-0.0018253434527812917,-1
1988-09-30,1.0431,1.0442,1.0409,1.0431,661,50,0,0.00394610202117418,1
1988-10-03,1.0499,1.0507,1.0482,1.05,491,50,0,0.00661489790048897,1
1988-10-04,1.0513,1.0526,1.0507,1.0513,381,50,0,0.0012380952380950383,1
